Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2017-07-02T23:00:00.000Z,"7,312.70","7,515.10","7,303.50","7,372.00",0.81,0.3,"16,02,99,84,200"
2017-07-31T23:00:00.000Z,"7,372.00","7,551.90","7,289.20","7,430.60",0.79,0.28,"14,50,27,12,300"
2017-08-31T23:00:00.000Z,"7,430.60","7,460.50","7,196.60","7,372.80",-0.78,-1.29,"15,45,62,43,700"
2017-10-01T23:00:00.000Z,"7,372.80","7,565.10","7,372.70","7,493.10",1.63,1.12,"17,21,54,35,300"
2017-11-01T00:00:00.000Z,"7,493.10","7,582.90","7,326.70","7,326.70",-2.22,-2.73,"18,21,90,02,800"
2017-12-01T00:00:00.000Z,"7,326.70","7,697.60","7,288.70","7,687.80",4.93,4.42,"13,80,32,43,500"
2018-01-02T00:00:00.000Z,"7,687.80","7,792.60","7,521.80","7,533.60",-2.01,-2.52,"16,51,19,36,800"
2018-02-01T00:00:00.000Z,"7,533.60","7,554.70","7,073.00","7,231.90",-4,-4.52,"16,61,19,16,700"
2018-03-01T00:00:00.000Z,"7,231.90","7,254.90","6,866.90","7,056.60",-2.42,-2.94,"17,11,38,90,000"
2018-04-02T23:00:00.000Z,"7,056.60","7,546.20","6,971.80","7,509.30",6.42,5.9,"15,62,02,75,100"
2018-04-30T23:00:00.000Z,"7,509.30","7,903.50","7,492.40","7,678.20",2.25,1.74,"18,68,73,64,400"
2018-05-31T23:00:00.000Z,"7,678.20","7,793.50","7,508.30","7,636.90",-0.54,-1.05,"19,44,26,04,000"
2018-07-01T23:00:00.000Z,"7,636.90","7,782.90","7,540.70","7,748.80",1.47,0.95,"15,59,16,45,900"
2018-07-31T23:00:00.000Z,"7,748.80","7,790.20","7,428.70","7,432.40",-4.08,-4.6,"15,16,28,21,300"
2018-09-02T23:00:00.000Z,"7,432.40","7,552.00","7,220.50","7,510.20",1.05,0.53,"14,86,50,89,900"
2018-09-30T23:00:00.000Z,"7,510.20","7,526.20","6,851.60","7,128.10",-5.09,-5.6,"18,59,61,40,600"
2018-11-01T00:00:00.000Z,"7,128.10","7,196.40","6,904.20","6,980.20",-2.07,-2.59,"18,27,68,05,900"
2018-12-03T00:00:00.000Z,"6,980.20","7,145.50","6,536.50","6,728.10",-3.61,-4.12,"14,89,71,27,200"
2019-01-02T00:00:00.000Z,"6,728.10","7,001.90","6,599.50","6,968.90",3.58,3.07,"14,98,00,85,300"
